2016-01-23 10:25:53,158 [Worker-4] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for res-web
2016-01-23 10:25:53,167 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-01-23 10:25:53,524 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.mes.c3rm.paas:res-mgr-common:jar:1.0 is missing, no dependency information available
2016-01-23 10:25:53,840 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-01-23 10:25:53,840 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/mes/dev/git-sources/c3rm/paas-rm/res-web/src/main/resources
2016-01-23 10:25:53,842 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-01-23 10:25:53,842 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/mes/dev/git-sources/c3rm/paas-rm/res-web/src/test/resources
2016-01-23 10:26:02,396 [Worker-5] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.mes.c3rm.paas:res-mgr-common:1.0 @ /home/mes/dev/git-sources/c3rm/paas-rm/res-mgr-common/pom.xml.
2016-01-23 10:26:02,464 [Worker-5] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.mes.c3rm:res-mgr:1.0 @ /home/mes/dev/git-sources/c3rm/paas-rm/res-mgr/pom.xml.
2016-01-23 10:26:02,730 [Worker-5] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.mes.c3rm:res-web:1.0 @ /home/mes/dev/git-sources/c3rm/paas-rm/res-web/pom.xml.
2016-01-23 10:26:03,384 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-01-23 10:26:03,385 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/mes/dev/git-sources/c3rm/paas-rm/res-mgr-common/src/main/resources
2016-01-23 10:26:03,386 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-01-23 10:26:03,386 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/mes/dev/git-sources/c3rm/paas-rm/res-mgr-common/src/test/resources
2016-01-23 10:26:03,988 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2016-01-23 10:26:03,988 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/mes/dev/git-sources/c3rm/paas-rm/res-mgr/src/main/resources
2016-01-23 10:26:03,989 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2016-01-23 10:26:03,989 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/mes/dev/git-sources/c3rm/paas-rm/res-mgr/src/test/resources
